Reference, Quantity, Value, Footprint, Datasheet, PartNo, Manufacturer, Distributor
C1 ,1,"10nF 400V","Capacitors_ThroughHole:C_Rect_L13_W4_P10","http://www.kemet.com/Lists/ProductCatalog/Attachments/495/KEM_F3093_R46_X2_275_110C.pdf","R46KF210050N0K","Kemet","Farnell/1679293"
C2 ,1,"47nF 400V","Capacitors_ThroughHole:C_Rect_L13_W6_H12_P10"," http://www.kemet.com/Lists/ProductCatalog/Attachments/495/KEM_F3093_R46_X2_275_110C.pdf","R46KI24705001K","Kemet","Farnell/1679306"
C3 ,1,"100nF 400V","Capacitors_ThroughHole:C_Rect_L13_W6_H12_P10","http://www.farnell.com/datasheets/1734662.pdf","BFC233922104","VISHAY BC COMPONENTS","Farnell/1413837"
C4 C9 ,2,"1u","Capacitors_SMD:C_0603","","?","?","?"
C5 ,1,"100uF","Capacitors_Elko_ThroughHole:Elko_vert_11.2x7.5mm_RM2.5_CopperClear","","?","?","?"
C6 ,1,"C","Capacitors_SMD:C_0603","","?","?","?"
C7 ,1,"10u","Capacitors_Elko_ThroughHole:Elko_vert_11.2x7.5mm_RM2.5_CopperClear","","?","?","?"
C8 ,1,"1n","w_smd_cap:c_0603","","?","?","?"
CON1 ,1,"AVR-ISP-6","Pin_Headers:Pin_Header_Straight_2x03_Pitch2.54mm","","?","?","?"
CONN10 ,1,"CONN_01X06","Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm","","?","?","?"
D1 D2 ,2,"LED","SM0805","","?","?","?"
D3 D4 D5 D6 D7 ,5,"1N4148","Diodes_SMD:SOD-323","","1N4148WS","MULTICOMP","Farnell/1466524RL"
F1 ,1,"FUSE","Fuseholder5x20_horiz_open_universal_Type-III","http://www.littelfuse.com/~/media/electronics/datasheets/fuses/littelfuse_fuse_314_324_datasheet.pdf.pdf","0314030.MXP","Littelfuse Inc.","Farnell/1596783"
IC2 ,1,"ATTINY441-SSU","Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm","","ATTINY441-SSU","ATMEL","Farnell/2396717"
J1 ,1,"240VAC","Connectors_Molex:Molex_MiniFit-JR-5556-02A_2x01x4.20mm_Straight","","?","?","?"
J2 ,1,"LOAD","Connectors_Molex:Molex_MiniFit-JR-5556-02A_2x01x4.20mm_Straight","","?","?","?"
L1 ,1,"40-100uH","Choke_Toroid_8x16mm_Vertical","","?","?","?"
P1 P6 ,2,"CONN_4","connect-SC-04","","?","?","?"
Q1 Q2 ,2,"2N3904","w_smd_trans:sot23","http://www.farnell.com/datasheets/1915516.pdf","MMBT3904-7-F","DIODES INC.","Farnell/1773602"
R1 ,1,"360R","w_pth_resistors:R15.5x6","http://www.farnell.com/cad/1723196.pdf","CFR200J390R","TE CONNECTIVITY","Farnell/2329590"
R10 ,1,"200","w_smd_resistors:r_0603","","?","?","?"
R11 R12 ,2,"220","w_smd_resistors:r_0603","","?","?","?"
R13 R14 ,2,"220k","w_smd_resistors:r_2010","http://www.farnell.com/datasheets/1718729.pdf","MCPWR10FTEQ2203","MULTICOMP","Farnell/1887681RL"
R16 ,1,"0R","w_smd_resistors:r_0603","","?","?","?"
R17 ,1,"120","w_smd_resistors:r_0603","","?","?","?"
R2 ,1,"4.7k","w_smd_resistors:r_0603","","?","?","?"
R3 ,1,"39","w_pth_resistors:RC05","http://www.farnell.com/datasheets/1851677.pdf","MFP1-39R JI","WELWYN","Farnell/1565385"
R15 R4 ,2,"1k","w_smd_resistors:r_0603","","?","?","?"
R5 ,1,"22k","w_smd_resistors:r_0603","","?","?","?"
R6 ,1,"470R","w_pth_resistors:R12x5.2","http://www.farnell.com/cad/1723196.pdf","CFR100J470R","TE CONNECTIVITY","Farnell/2329459"
R7 R9 ,2,"10k","w_smd_resistors:r_0603","","?","?","?"
R8 ,1,"510k","w_pth_resistors:RC05","http://www.farnell.com/datasheets/1716726.pdf","MF50 510K","MULTICOMP","Farnell/9340700"
U1 ,1,"MOC-3052","optocoupler-2-DIL06","http://www.farnell.com/datasheets/1964329.pdf","MOC3052M","FAIRCHILD SEMICONDUCTOR","Farnell/1086680"
U2 ,1,"BTA41","w_to:top3","http://www.st.com/web/en/resource/technical/document/datasheet/CD00002263.pdf","BTA41-600BRG","STMicroelectronics","Farnell/1057288"
U3 ,1,"4N35","w_smd_dil:mdip_6","http://www.farnell.com/datasheets/1964301.pdf","4N35S-M..","FAIRCHILD SEMICONDUCTOR","Farnell/1021179"
U4 ,1,"SP3485EN","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","","SP485EMN-L","EXAR","Farnell/9387196"
VR1 ,1,"VR","varistor-S05K40","http://www.farnell.com/datasheets/1872094.pdf","MCSR431K07DS","MULTICOMP","Farnell/1856861"
